Age,Team,Year
28.2560963372,HOU,2004
27.1183034587,IND,2004
24.2915425398,LAC,2004
29.8022664316,LAL,2004
25.9811871227,MEM,2004
26.3519109086,MIA,2004
26.5143579373,MIL,2004
29.7287269046,MIN,2004
27.6517127633,NJN,2004
30.2553706505,NOH,2004
29.6315392354,NYK,2004
25.8047907211,ORL,2004
27.460841098,PHI,2004
24.4410035479,PHO,2004
27.6095595596,POR,2004
29.2545500506,SAC,2004
27.2535054417,SAS,2004
27.5974974975,TOR,2004
24.9283114257,UTA,2004
24.4061018659,WAS,2004
26.011281793,ATL,2005
27.0787726358,BOS,2005
24.8642354125,CHA,2005
24.9605143722,CHI,2005
26.4764542936,CLE,2005
27.6519513431,DAL,2005
26.6608453556,DEN,2005
27.9021799048,DET,2005
26.6743531776,GSW,2005
29.7192646688,HOU,2005
28.2922883698,IND,2005
25.5181727409,LAC,2005
26.0359453994,LAL,2005
26.3159604161,MEM,2005
27.9982982983,MIA,2005
26.939231547,MIL,2005
28.9650721336,MIN,2005
27.7914594323,NJN,2005
27.5034621174,NOH,2005
27.2618712274,NYK,2005
26.5269728495,ORL,2005
26.3671115588,PHI,2005
25.1734580384,PHO,2005
27.0134820071,POR,2005
27.7120624528,SAC,2005
28.4893208786,SAS,2005
26.9705124968,TOR,2005
25.7073811931,UTA,2005
25.271132457,WAS,2005
22.695035461,ATL,2006
25.2779398451,BOS,2006
25.1936796624,CHA,2006
24.1453759984,CHI,2006
27.0683308119,CLE,2006
27.4588258967,DAL,2006
27.3840634252,DEN,2006
28.5302541347,DET,2006
25.6495032528,GSW,2006
28.8287861213,HOU,2006
27.3045263318,IND,2006
26.8035750353,LAC,2006
25.1422887076,LAL,2006
28.0959456056,MEM,2006
29.2182232346,MIA,2006
25.5220325326,MIL,2006
26.6991689751,MIN,2006
28.588372093,NJN,2006
25.5929958356,NYK,2006
25.4783482367,ORL,2006
26.5352190514,PHI,2006
27.5208980656,PHO,2006
24.561327927,POR,2006
27.1658093797,SAC,2006
29.7781873264,SAS,2006
25.8759394729,TOR,2006
25.6190332478,UTA,2006
26.5236270109,WAS,2006
24.1086464464,ATL,2007
23.5217303722,BOS,2007
25.4870025995,CHA,2007
26.0279561195,CHI,2007
26.9024144869,CLE,2007
28.075778284,DAL,2007
26.4974218987,DEN,2007
28.9625754527,DET,2007
24.6190837763,GSW,2007
28.2022460593,HOU,2007
27.2139426723,IND,2007
27.4815265319,LAC,2007
25.2507738392,LAL,2007
26.2115403863,MEM,2007
29.3354149879,MIA,2007
26.0445709106,MIL,2007
27.712671832,MIN,2007
28.2155827172,NJN,2007
25.3929821054,NYK,2007
25.6141557128,ORL,2007
26.2471452286,PHI,2007
27.6011856913,PHO,2007
24.3938665063,POR,2007
27.286832273,SAC,2007
30.4008494287,SAS,2007
25.9737774628,TOR,2007
25.9017469454,UTA,2007
26.7893807987,WAS,2007
24.1648451272,ATL,2008
27.9223487725,BOS,2008
26.3260399376,CHA,2008
25.72812642,CHI,2008
27.0986752632,CLE,2008
28.8953370502,DAL,2008
28.5115822339,DEN,2008
28.2595671347,DET,2008
25.5068001416,GSW,2008
28.2513810755,HOU,2008
26.6611996963,IND,2008
28.5474327258,LAC,2008
26.6786653185,LAL,2008
24.4520070689,MEM,2008
27.3959657085,MIA,2008
25.8054995971,MIL,2008
24.6416299225,MIN,2008
27.3567826525,NJN,2008
27.0569019489,NOH,2008
25.6866512423,NYK,2008
26.6909660786,ORL,2008
25.2749683624,PHI,2008
29.2602628918,PHO,2008
24.074608119,POR,2008
27.2706873078,SAC,2008
31.4158430896,SAS,2008
26.3101205184,TOR,2008
25.3167723928,UTA,2008
27.227117452,WAS,2008
25.7941236172,ATL,2009
27.8012072435,BOS,2009
25.8334420635,CHA,2009
24.9429503261,CHI,2009
26.5883631584,CLE,2009
29.0248422116,DAL,2009
27.6606862298,DEN,2009
28.181594414,DET,2009
25.0302313883,GSW,2009
27.8834637718,HOU,2009
26.5490720194,IND,2009
26.5596016497,LAC,2009
27.4008291622,LAL,2009
23.3469501111,MEM,2009
25.5759246266,MIA,2009
26.3361641897,MIL,2009
25.4166919115,MIN,2009
25.6994654025,NJN,2009
28.1578174824,NOH,2009
25.7495834806,NYK,2009
24.5186064125,OKC,2009
27.3109984795,ORL,2009
26.1116229624,PHI,2009
29.5289561608,PHO,2009
23.9905698437,POR,2009
26.2904441318,SAC,2009
30.394564999,SAS,2009
27.0355970714,TOR,2009
25.4851609658,UTA,2009
26.8947528671,WAS,2009
26.4617747784,ATL,2010
29.4415571284,BOS,2010
27.4009759042,CHA,2010
26.1515121069,CHI,2010
28.0487866532,CLE,2010
30.6794265594,DAL,2010
27.6684867789,DEN,2010
26.7392073602,DET,2010
25.1002483402,GSW,2010
25.958852492,HOU,2010
26.5887845724,IND,2010
27.2934578491,LAC,2010
28.4257690368,LAL,2010
24.0850540065,MEM,2010
27.0611197746,MIA,2010
26.3954850335,MIL,2010
24.0952525406,MIN,2010
24.7879783631,NJN,2010
27.5008824568,NOH,2010
25.4085513078,NYK,2010
23.1919814179,OKC,2010
27.9430280298,ORL,2010
25.4377398505,PHI,2010
28.4978458107,PHO,2010
26.6077759871,POR,2010
24.101413552,SAC,2010
28.7408998989,SAS,2010
25.1962994793,TOR,2010
25.5931362624,UTA,2010
27.5942920532,WAS,2010
27.4135141045,ATL,2011
30.0998178506,BOS,2011
27.1713927227,CHA,2011
26.0685576343,CHI,2011
27.9121765962,CLE,2011
31.1937737468,DAL,2011
27.5492094619,DEN,2011
27.8867968659,DET,2011
25.3275964392,GSW,2011
27.1237723346,HOU,2011
26.430815161,IND,2011
24.5103847062,LAC,2011
30.4007638005,LAL,2011
24.5191224777,MEM,2011
29.0668314051,MIA,2011
26.527693857,MIL,2011
23.8702957763,MIN,2011
24.7017708455,NJN,2011
26.2851373183,NOH,2011
24.4747965505,NYK,2011
23.594751854,OKC,2011
28.1022497322,ORL,2011
24.9275653924,PHI,2011
29.6709757613,PHO,2011
26.9057235172,POR,2011
24.8375081116,SAC,2011
29.0320868232,SAS,2011
25.0541731158,TOR,2011
27.2149168101,UTA,2011
